Latitude, Longitude, Depth (km), Magnitude, Origin-time (UTC)
-43.1681, 170.847, 7.0030600000000005, 0.0, 2008-11-03T23:53:23.349300Z
-43.1433, 171.291, 3.6526, 0.0, 2008-11-04T06:17:49.014000Z
-43.1437, 171.156, 13.2036, 0.0, 2008-11-04T18:16:08.524100Z
-43.1563, 170.973, 0.995703, 0.0, 2008-11-04T18:23:05.728120Z
-43.0289, 171.378, 9.82559, 0.0, 2008-11-05T03:37:46.239800Z
-42.9373, 171.736, 15.011700000000001, 0.0, 2008-11-05T07:05:49.936800Z
-43.1548, 170.971, 1.26139, 0.0, 2008-11-05T08:10:11.554100Z
-43.1599, 170.989, 0.995703, 0.0, 2008-11-06T01:24:36.117400Z
-43.1506, 170.969, 1.94805, 0.0, 2008-11-06T06:22:04.910120Z
-43.1699, 170.897, 5.2778, 0.0, 2008-11-06T08:19:07.578200Z
-43.0223, 171.455, 1.98945, 0.0, 2008-11-06T10:53:07.801130Z
-43.0777, 171.423, 11.7337, 0.0, 2008-11-06T17:45:17.492000Z
-42.9857, 171.421, 14.873700000000001, 0.0, 2008-11-06T18:53:36.900900Z
-43.2108, 170.831, 6.92025, 0.0, 2008-11-06T20:42:12.393200Z
-43.0287, 171.193, 9.00091, 0.0, 2008-11-08T00:27:24.755400Z
-42.9563, 171.404, 1.00951, 0.0, 2008-11-08T00:46:21.845600Z
-42.9492, 171.436, 7.134180000000001, 0.0, 2008-11-10T14:09:36.067400Z
-43.1835, 170.864, 9.98086, 0.0, 2008-11-10T20:07:25.862500Z
-43.268, 170.756, 7.99336, 0.0, 2008-11-11T00:57:37.502300Z
-43.2608, 170.778, 8.99401, 0.0, 2008-11-11T08:09:44.504600Z
-43.2789, 170.766, 9.38392, 0.0, 2008-11-11T11:19:19.061100Z
-43.2781, 170.767, 9.239, 0.0, 2008-11-11T12:37:02.223660Z
-42.8499, 171.398, 11.0022, 0.0, 2008-11-11T21:30:07.779450Z
-43.301, 170.769, 11.0005, 0.0, 2008-11-11T22:26:36.760700Z
-43.0668, 171.523, 1.0026, 0.0, 2008-11-11T22:45:30.801500Z
-42.8443, 171.344, 1.53053, 0.0, 2008-11-11T23:58:30.013700Z
-43.3481, 170.971, 9.81178, 0.0, 2008-11-13T12:53:26.797700Z
-43.1734, 170.859, 7.44473, 0.0, 2008-11-13T14:32:19.928600Z
-43.1464, 171.006, 1.9998, 0.0, 2008-11-13T16:18:41.923600Z
-43.1731, 171.029, 2.00326, 0.0, 2008-11-13T16:19:02.964770Z
-43.2099, 171.316, 12.1202, 0.0, 2008-11-14T15:51:21.237400Z
-43.1056, 171.416, 12.4135, 0.0, 2008-11-14T22:27:58.395900Z
-43.2777, 170.77, 9.12858, 0.0, 2008-11-15T05:21:59.371900Z
-43.2804, 170.769, 9.149280000000001, 0.0, 2008-11-15T05:45:00.754316Z
-43.4916, 170.335, 12.7999, 0.0, 2008-11-15T08:14:52.546100Z
-43.2848, 170.774, 9.99811, 0.0, 2008-11-15T13:14:43.954600Z
-43.5105, 170.233, 10.1534, 0.0, 2008-11-16T12:43:29.747200Z
-43.5562, 170.697, 5.98171, 0.0, 2008-11-18T06:29:50.068900Z
-43.4604, 170.687, 15.0048, 0.0, 2008-11-18T09:59:42.086000Z
-43.1962, 171.551, 12.7827, 0.0, 2008-11-20T13:22:36.318800Z
-43.2261, 170.773, 8.00026, 0.0, 2008-11-20T16:15:16.981600Z
-43.1369, 170.93, 15.9986, 0.0, 2008-11-20T22:13:54.264700Z
-43.4077, 170.523, 4.00111, 0.0, 2008-11-21T02:42:16.594100Z
-43.2756, 170.896, 8.09342, 0.0, 2008-11-21T02:46:11.286300Z
-43.5555, 171.458, 9.649610000000001, 0.0, 2008-11-21T13:10:59.616200Z
-43.1413, 170.926, 15.0014, 0.0, 2008-11-22T02:37:57.409600Z
-43.109, 170.686, 1.1302699999999999, 0.0, 2008-11-23T01:48:57.999000Z
-43.1612, 170.969, 1.00951, 0.0, 2008-11-23T07:46:20.925500Z
-43.5582, 170.232, 13.3831, 0.0, 2008-11-25T18:27:40.482400Z
-43.5339, 170.251, 9.166540000000001, 0.0, 2008-11-26T06:16:57.629200Z
-43.0865, 170.956, 14.0939, 0.0, 2008-11-26T16:52:29.824700Z
-43.3746, 170.744, 13.0001, 0.0, 2008-11-27T10:23:06.489370Z
-42.9923, 171.41, 13.5901, 0.0, 2008-11-28T04:50:31.829400Z
-43.0284, 171.137, 4.19434, 0.0, 2008-11-30T02:23:06.453360Z
-43.1634, 171.213, 1.01641, 0.0, 2008-11-30T09:40:20.074600Z
-43.4653, 170.722, 12.858600000000001, 0.0, 2008-11-30T11:05:29.223900Z
-43.175, 170.874, 16.0745, 0.0, 2008-12-01T07:18:52.142600Z
-42.7485, 171.311, 12.0029, 0.0, 2008-12-01T16:46:50.451300Z
-43.0699, 170.88, 8.87669, 0.0, 2008-12-01T17:36:41.166700Z
-42.7948, 171.27, 1.46497, 0.0, 2008-12-01T20:09:17.930500Z
-42.9495, 171.418, 4.69121, 0.0, 2008-12-01T20:23:28.374200Z
-43.0229, 171.127, 0.995703, 0.0, 2008-12-01T21:55:53.801900Z
-43.0804, 171.053, 4.07357, 0.0, 2008-12-02T02:23:05.008000Z
-43.1072, 171.054, 15.563799999999999, 0.0, 2008-12-02T16:48:59.418600Z
-42.7965, 171.279, 2.11367, 0.0, 2008-12-03T01:03:51.116600Z
-42.7578, 171.302, 10.4363, 0.0, 2008-12-03T01:15:50.063900Z
-43.1192, 170.981, 15.0014, 0.0, 2008-12-03T02:04:25.972900Z
-42.9601, 171.385, 4.497979999999999, 0.0, 2008-12-03T05:29:04.841830Z
